popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
51.3807,49.6992,51.3807,37.2921,65.4693,51.3807,49.6992,51.3807,37.2921,65.4693,All
52.8536,51.21,52.8536,38.3611,67.3461,52.8536,51.21,52.8536,38.3611,67.3461,All
52.8802,51.2374,52.8802,38.3805,67.38,52.8802,51.2374,52.8802,38.3805,67.38,All
54.3798,52.7752,54.3798,39.4688,69.2908,54.3798,52.7752,54.3798,39.4688,69.2908,All
54.8523,53.2597,54.8523,39.8118,69.8928,54.8523,53.2597,54.8523,39.8118,69.8928,All
55.8794,54.313,55.8794,40.5572,71.2015,55.8794,54.313,55.8794,40.5572,71.2015,All
56.9265,55.3868,56.9265,41.3172,72.5358,56.9265,55.3868,56.9265,41.3172,72.5358,All
57.3789,55.8508,57.3789,41.6456,73.1122,57.3789,55.8508,57.3789,41.6456,73.1122,All
58.8785,57.3825,58.8785,42.734,75.023,58.8785,57.3825,58.8785,42.734,75.023,All
59.0792,57.5871,59.0792,42.8796,75.2787,59.0792,57.5871,59.0792,42.8796,75.2787,All
60.378,58.9108,60.378,43.8223,76.9337,60.378,58.9108,60.378,43.8223,76.9337,All
61.3132,59.8639,61.3132,44.5011,78.1254,61.3132,59.8639,61.3132,44.5011,78.1254,All
61.8776,60.4343,61.8776,44.9107,78.8444,61.8776,60.4343,61.8776,44.9107,78.8444,All
63.3771,61.9491,63.3771,45.9991,80.7552,63.3771,61.9491,63.3771,45.9991,80.7552,All
63.6318,62.2064,63.6318,46.1839,81.0797,63.6318,62.2064,63.6318,46.1839,81.0797,All
64.8767,63.4444,64.8767,47.0875,82.6659,64.8767,63.4444,64.8767,47.0875,82.6659,All
66.038,64.5793,66.038,47.9304,84.1457,66.038,64.5793,66.038,47.9304,84.1457,All
66.3762,64.9099,66.3762,48.1758,84.5766,66.3762,64.9099,66.3762,48.1758,84.5766,All
67.8758,66.3753,67.8758,49.2642,86.4874,67.8758,66.3753,67.8758,49.2642,86.4874,All
68.5352,67.0197,68.5352,49.7428,87.3276,68.5352,67.0197,68.5352,49.7428,87.3276,All
69.3754,67.8407,69.3754,50.3526,88.3981,69.3754,67.8407,69.3754,50.3526,88.3981,All
70.8749,69.3061,70.8749,51.441,90.3088,70.8749,69.3061,70.8749,51.441,90.3088,All
71.1269,69.5523,71.1269,51.6239,90.6299,71.1269,69.5523,71.1269,51.6239,90.6299,All
72.3745,70.7715,72.3745,52.5294,92.2196,72.3745,70.7715,72.3745,52.5294,92.2196,All
