popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
51.3611,49.7266,51.3611,37.3128,65.4093,51.3611,49.7266,51.3611,37.3128,65.4093,All
52.8457,51.2503,52.8457,38.3913,67.3,52.8457,51.2503,52.8457,38.3913,67.3,All
52.8593,51.2643,52.8593,38.4012,67.3173,52.8593,51.2643,52.8593,38.4012,67.3173,All
54.3575,52.8017,54.3575,39.4896,69.2253,54.3575,52.8017,54.3575,39.4896,69.2253,All
54.8423,53.2992,54.8423,39.8418,69.8427,54.8423,53.2992,54.8423,39.8418,69.8427,All
55.8557,54.3391,55.8557,40.578,71.1334,55.8557,54.3391,55.8557,40.578,71.1334,All
56.9143,55.4254,56.9143,41.3471,72.4815,56.9143,55.4254,56.9143,41.3471,72.4815,All
57.3539,55.8766,57.3539,41.6665,73.0414,57.3539,55.8766,57.3539,41.6665,73.0414,All
58.8521,57.4077,58.8521,42.7549,74.9494,58.8521,57.4077,58.8521,42.7549,74.9494,All
59.0646,57.6243,59.0646,42.9092,75.2199,59.0646,57.6243,59.0646,42.9092,75.2199,All
60.3503,58.9355,60.3503,43.8433,76.8574,60.3503,58.9355,60.3503,43.8433,76.8574,All
61.2962,59.9,61.2962,44.5304,78.0619,61.2962,59.9,61.2962,44.5304,78.0619,All
61.8486,60.4583,61.8486,44.9317,78.7654,61.8486,60.4583,61.8486,44.9317,78.7654,All
63.3468,61.9728,63.3468,46.0202,80.6734,63.3468,61.9728,63.3468,46.0202,80.6734,All
63.612,62.2409,63.612,46.2129,81.0112,63.612,62.2409,63.612,46.2129,81.0112,All
64.845,63.4669,64.845,47.1086,82.5814,64.845,63.4669,64.845,47.1086,82.5814,All
66.0154,64.6113,66.0154,47.9589,84.0719,66.0154,64.6113,66.0154,47.9589,84.0719,All
66.3432,64.9318,66.3432,48.197,84.4894,66.3432,64.9318,66.3432,48.197,84.4894,All
67.8414,66.3967,67.8414,49.2854,86.3974,67.8414,66.3967,67.8414,49.2854,86.3974,All
68.5096,67.05,68.5096,49.7708,87.2483,68.5096,67.05,68.5096,49.7708,87.2483,All
69.3396,67.8616,69.3396,50.3738,88.3054,69.3396,67.8616,69.3396,50.3738,88.3054,All
70.8378,69.3265,70.8378,51.4623,90.2134,70.8378,69.3265,70.8378,51.4623,90.2134,All
71.098,69.5809,71.098,51.6512,90.5447,71.098,69.5809,71.098,51.6512,90.5447,All
72.336,70.7914,72.336,52.5507,92.1214,72.336,70.7914,72.336,52.5507,92.1214,All
73.7842,72.2074,73.7842,53.6027,93.9656,73.7842,72.2074,73.7842,53.6027,93.9656,All
73.8343,72.2563,73.8343,53.6391,94.0294,73.8343,72.2563,73.8343,53.6391,94.0294,All
75.3325,73.7084,75.3325,54.7275,95.9374,75.3325,73.7084,75.3325,54.7275,95.9374,All
76.5719,74.8642,76.5719,55.6279,97.5158,76.5719,74.8642,76.5719,55.6279,97.5158,All
76.8307,75.1056,76.8307,55.816,97.8454,76.8307,75.1056,76.8307,55.816,97.8454,All
78.3289,76.4778,78.3289,56.9044,99.7534,78.3289,76.4778,78.3289,56.9044,99.7534,All
79.4649,77.4907,79.4649,57.7296,101.2,79.4649,77.4907,79.4649,57.7296,101.2,All
79.8271,77.8137,79.8271,57.9928,101.661,79.8271,77.8137,79.8271,57.9928,101.661,All
81.3253,79.1496,81.3253,59.0812,103.569,81.3253,79.1496,81.3253,59.0812,103.569,All
82.4672,80.1678,82.4672,59.9108,105.024,82.4672,80.1678,82.4672,59.9108,105.024,All
82.8235,80.4855,82.8235,60.1696,105.477,82.8235,80.4855,82.8235,60.1696,105.477,All
84.3218,81.8096,84.3218,61.2581,107.385,84.3218,81.8096,84.3218,61.2581,107.385,All
85.5829,82.8599,85.5829,62.1743,108.992,85.5829,82.8599,85.5829,62.1743,108.992,All
85.82,83.0573,85.82,62.3465,109.293,85.82,83.0573,85.82,62.3465,109.293,All
87.3182,84.3051,87.3182,63.4349,111.201,87.3182,84.3051,87.3182,63.4349,111.201,All
88.8164,85.5528,88.8164,64.5233,113.109,88.8164,85.5528,88.8164,64.5233,113.109,All
